Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,BB,1B,2B,3B,HR,ROE,K,HBP,FO,GO,LO,Popup#
1,1168476928,M. Dunaway,Mason Dunaway,Dunaway,3B,James Madison University,JMU,730340096,James Madison,BBC,R,R,3,4,1,0,0,0,0,1,6,1,1,0
1,1314748416,T. Cotto,Tyler Cotto,Cotto,C,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,4,0,0,0,0,1,3,1,2,3,1,0
1,1104728832,M. Bingham,Mac Bingham,Bingham,LF,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,3,2,0,0,0,0,4,3,3,2,1,0
1,1323296000,N. Ericsson,Nic Ericsson,Ericsson,C,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,5,3,0,0,0,0,0,0,2,1,0,0
1,1311639040,J. Starke,Justin Starke,Starke,C,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,3,3,0,0,1,0,2,1,5,1,0,0
1,1148601856,T. DeMartino,Tyler DeMartino,DeMartino,DH,Xavier University,XAV,5464,Xavier,BBC,R,R,2,3,0,0,0,0,3,1,0,2,1,0
1,1272727040,I. Cleary,Ian Cleary,Cleary,LF,Oakland University,OAK,5386,Oakland,BBC,L,R,3,5,2,0,0,0,5,0,1,2,1,0
1,1200439296,S. Orduno,Sebastian Orduno,Orduno,CF,San Jose State University,SJSU,730206720,San Jose State,BBC,L,L,3,3,1,0,0,1,1,2,3,5,1,0
1,1159936512,J. Sierra,Justin Sierra,Sierra,RF,Fairleigh Dickinson University,FDU,730355200,Fairleigh Dickinson,BBC,R,R,1,3,1,0,0,0,2,1,2,0,1,0
1,1272021504,H. Dorraugh,Hunter Dorraugh,Dorraugh,DH,San Jose State University,SJSU,730206720,San Jose State,BBC,R,R,3,3,2,0,1,0,5,0,0,3,0,0
1,1317643008,R. Nicholson,Ryan Nicholson,Nicholson,1B,University of Kentucky,UK,5362,Kentucky,BBC,L,L,1,2,1,0,1,0,2,0,2,2,0,0
1,1328222976,K. Kapuscinski,Kapuscinski Kapuscinski,Kapuscinski,1B,Marist College,MRST,730374656,Marist,BBC,R,R,2,1,2,0,0,0,2,0,0,3,0,0
1,1249301248,J. Hollerbach,Joe Hollerbach,Hollerbach,3B,Georgetown University,GTWN,2330,Georgetown,BBC,R,R,5,5,0,0,1,1,2,1,3,3,1,0
1,1233442048,W. Worthington,Will Worthington,Worthington,SS,University of San Diego,USD,5320,San Diego,BBC,R,R,2,2,0,0,0,0,6,0,1,2,1,0
1,1200777984,T. Laneve,Troy Laneve,Laneve,LF,Vanderbilt University,VAN,5046,Vanderbilt,BBC,L,R,0,3,1,0,1,0,4,0,2,2,0,0
1,1286167296,M. Becchetti,Mike Becchetti,Becchetti,2B,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,6,1,0,0,1,0,3,1,3,2,0,0
1,1135443968,T. Cobb jr.,Tremayne Cobb jr.,Cobb jr.,SS,Troy University,TROY,730378496,Troy,BBC,R,R,2,5,1,1,0,0,1,0,0,6,0,0
1,1168763904,S. DiTomaso,Stephen DiTomaso,DiTomaso,DH,George Washington University,GW,730249216,George Washington,BBC,R,R,0,4,0,1,0,0,4,1,2,5,3,0
1,1134099456,C. Almanza,Christian Almanza,Almanza,1B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,L,2,2,2,0,1,1,4,0,3,2,0,0
1,1091989248,J. Yakubinis,J.D. Yakubinis,Yakubinis,RF,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,1,3,0,0,0,0,3,0,2,4,0,0
1,1174603008,G. Heiser,Grant Heiser,Heiser,C,Seattle University,SEA,4504,Seattle,BBC,R,R,0,1,3,0,0,0,3,0,4,3,0,0
1,1173607936,P. Vossen,Paul Vossen,Vossen,CF,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,L,R,1,4,1,0,0,1,5,0,0,2,1,0
1,1139711744,L. Spillane,Luke Spillane,Spillane,CF,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,0,2,0,0,0,0,1,1,4,4,1,0
1,1116319744,J. Winsett,Jack Winsett,Winsett,3B,Rider University,RID,730174976,Rider,BBC,L,L,2,3,0,0,0,0,5,1,1,2,0,0
1,1236935168,K. Ewell,Kendal Ewell,Ewell,RF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,1,0,1,0,0,1,3,0,3,3,0,0
1,1144841984,J. Spiegel,Josh Spiegel,Spiegel,C,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,0,0,2,0,0,0,3,0,2,3,0,0
1,1137296384,X. Carter,Xavier Carter,Carter,RF,Butler University,BUT,730283520,Butler,BBC,L,L,2,4,0,0,0,0,8,0,2,4,0,0
1,1263770368,T. Macgregor,Tyler Macgregor,Macgregor,1B,Northeastern University,NE,343,Northeastern,BBC,L,R,5,5,2,1,1,0,4,0,2,6,0,0
1,1104727808,K. Hopson,Kaden Hopson,Hopson,C,UNC Charlotte,CHAR,730214400,Charlotte,BBC,L,R,6,0,1,0,0,0,2,0,3,3,0,0
1,1123645952,V. Castillo,Victor Castillo,Castillo,LF,University of New Orleans,UNO,5380,New Orleans,BBC,L,R,5,3,0,0,0,0,4,4,1,3,0,0
1,1264357632,A. Finney,Alex Finney,Finney,C,Ohio University,OHIO,730298368,Ohio,BBC,R,R,2,2,0,0,0,1,3,1,2,0,1,0
1,1113645312,K. Kinkade,Konner Kinkade,Kinkade,2B,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,2,2,1,0,0,0,1,1,4,0,1,0
1,1224569600,B. Hord,Brendan Hord,Hord,C,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,0,1,3,0,0,0,3,0,5,3,0,0
1,1139712256,S. Sass,Sammy Sass,Sass,DH,Wright State University,WRST,5390,Wright State,BBC,R,R,3,7,3,0,1,1,1,0,3,4,1,0
1,1126988544,C. Harper,Carlton Harper,Harper,DH,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,0,2,0,0,0,0,4,0,0,6,1,0
1,1335479040,B. Rosengard,Ben Rosengard,Rosengard,2B,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,R,2,4,2,1,1,0,2,1,4,5,0,0
1,1097942272,M. Kluska,Mikey Kluska,Kluska,SS,University of Central Florida,UCF,730256640,Central Florida,BBC,R,R,0,2,0,0,0,0,3,0,2,3,1,0
1,1105464064,S. Scherry,Simon Scherry,Scherry,2B,University of Evansville,EVAN,730327808,Evansville,BBC,R,R,3,2,2,0,0,0,2,0,2,0,0,0
1,1187972864,D. Jackson jr.,Derrick Jackson jr.,Jackson jr.,DH,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,0,1,3,0,1,0,2,0,0,5,0,0
1,1155838976,T. Stone,Tyler Stone,Stone,1B,University of Nebraska,NEB,4865,Nebraska,BBC,L,R,1,3,0,0,2,1,5,0,3,6,0,0
